OBJECTID,Facility Identifier,Name of Facility,Subtype Field,Feature Code,Full Address,Operational Days,Operational Hours,Size of Park,Website,Number of Parking Spaces,Restrooms Available,ADA Compliant,Camping Available,Swimming Available,Hiking Available,Fishing Available,Picnicing Available,Boating Available,Hunting Available,Cycling Available,MTB Available,Playgrounds Available,Golf Available,Skiing Available,Soccer Fields Available,Baseball Fields Available,Basketball Courts Available,Junior Pools,Tennis Court Available,Lighted Tennis Court Available,Water Playground Available,Splash Pad Available,Dog Park Location,Disc Golf Available,Drinking Fountains Available,Basketball Half Court Available,Outdoor Fitness Available,Skatepark Available,Sand Volleyball Court,Recreation Center Available,Labyrinth,Toddler Park,Streams,Owner Type,x,y
77,Cla-114,Clark,790,Park,11440 E ADMIRAL PL,Sun-Sat,Daylight,13,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Municipal,2604048.90621668,429295.002254099
78,Cru-134,Crutchfield,790,Park,1345 E INDEPENDENCE AVE,Sun-Sat,Daylight,2.06,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Municipal,2566706.77084533,430636.28361024
79,Daw-203,Dawson,790,Park,2035 N KINGSTON PL,Sun-Sat,Daylight,1.41,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Municipal,2585449.77100689,437746.777919412
80,Llo-212,Lloyd,790,Park,2121 E 29TH ST N,Sun-Sat,Daylight,5,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Municipal,2569796.19708116,441410.588669203
81,McC-744,McClure,790,Park,7440 E 7TH ST,Sun-Sat,Daylight,53.44,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,Municipal,2591662.81509325,425933.417359829
82,Max-525,Maxwell,790,Park,5251 E NEWTON ST,Sun-Sat,Daylight,15.16,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Municipal,2583056.11642741,433772.717626072
83,Min-211,Mini Park I,790,Park,2118 E UTE ST,Sun-Sat,Daylight,0.81,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Municipal,2570016.05679564,436999.348722011
84,New-171,Newblock,790,Park,1710 W CHARLES PAGE BLVD,Sun-Sat,Daylight,84.56,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Municipal,2555413.10166762,424719.445460349
85,Pla-702,Plaza of the Americas,790,Park,702 S DENVER AVE,Sun-Sat,Daylight,0.6,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Municipal,2561062.29886658,424025.0127941
86,Sch-382,Schlegel,790,Park,3825 W 53RD PL S,Sun-Sat,Daylight,4.94,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Municipal,2548610.57590262,401165.899637744
87,Tra-113,Tracy,790,Park,1134 S PEORIA AVE,Sun-Sat,Daylight,3.34,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Municipal,2565368.04935939,423880.185327843
88,Wes-100,Celebration,790,Park,1002 W 21ST ST S,Sun-Sat,Daylight,23.21,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Municipal,2558141.1158146,418150.2902916
89,Zei-390,Zeigler,790,Park,3903 W 4TH ST S,Sun-Sat,Daylight,23.02,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Municipal,2548192.31312366,425318.548592843
90,Gar-122,Gary,790,Park,1225 S GARY PL,Sun-Sat,Daylight,0.48,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Municipal,2576249.12954929,423279.147733994
91,Ben-116,Benton,790,Park,1167 N 66TH E AVE,Sun-Sat,Daylight,2.34,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Municipal,2587286.04604168,433338.731863469
92,Boo-644,Boots Adams,790,Park,6441 S 76TH E AVE,Sun-Sat,Daylight,8.7,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Municipal,2591774.25926012,396074.009395033
93,Sav-178,Savage Park,790,Park,17800 E 21ST ST S,Sun-Sat,Daylight,20,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Municipal,2625412.08691543,420072.354196802
94,Chi-312,Chittom (Clinton),790,Park,3121 E QUEEN ST,Sun-Sat,Daylight,10,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Municipal,2575217.0855996,435583.32383097
95,Cre-180,Creek Stickball Park,790,Park,1800 S CHEYENNE AVE,Sun-Sat,Daylight,1.87,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Municipal,2562084.76442335,419663.814577535
96,Hol-411,Holiday Hills,790,Park,4111 E 54TH ST,Sun-Sat,Daylight,5,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Municipal,2580351.08984929,400633.807526074
97,Hun-580,Hunter,790,Park,5804 E 91ST ST,Sun-Sat,Daylight,80,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,Municipal,2585752.47668429,382194.211859412
98,Man-300,Manion,790,Park,3003 E 56TH ST S,Sun-Sat,Daylight,26.53,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,Municipal,2575741.38204116,400515.405121803
99,Map-404,Maple,790,Park,404 E 15TH ST S,Sun-Sat,Daylight,7,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Municipal,2564762.08108314,421377.677619614
100,Moh-300,Mohawk Soccer Complex,790,Park,3000 E 56TH ST N,Sun-Sat,Daylight,320,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Municipal,2577299.42846574,454744.183639094
101,Owe-560,Owen,790,Park,560 N MAYBELLE ST,Sun-Sat,Daylight,23.75,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Municipal,2557389.82466627,427961.888532534
102,Pat-512,Patrick,790,Park,5123 E DAWSON RD,Sun-Sat,Daylight,30,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Municipal,2582822.74460085,436636.231830135
103,Rig-920,Riggs,790,Park,9207 E 101ST ST,Sun-Sat,Daylight,13,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Municipal,2597297.9666346,377265.596798681
104,Ros-317,Rose Dew,790,Park,317 S 167TH E AVE,Sun-Sat,Daylight,5,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Municipal,2620718.25197897,428318.860833682
105,Swa-157,Swan Lake,790,Park,1573 SWAN DR,Sun-Sat,Daylight,4.03,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Municipal,2568523.52041064,419957.465154931
106,Sta-272,Standard Industries Tract,790,Park,2726 S 53RD W AVE,Sun-Sat,Daylight,16.53,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Municipal,2543866.56431127,415097.120544933
107,Ute-190,Ute,790,Park,1900 N PITTSBURG AVE,Sun-Sat,Daylight,10,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Municipal,2578989.70272626,437289.084034927
108,Vin-650,Vining,790,Park,6502 N CINCINNATI AVE,Sun-Sat,Daylight,6,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Municipal,2560089.48954251,460032.112285659
109,Woo-844,Woodland View I,790,Park,8445 E 58TH PL S,Sun-Sat,Daylight,4.77,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Municipal,2592168.33942668,400308.151599303
110,Woo-210,Woodward,790,Park,2101 S PEORIA AVE,Sun-Sat,Daylight,33.98,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Municipal,2567163.68922283,417644.977161802
111,Hel-532,Heller,790,Park,5328 S WHEELING AVE,Sun-Sat,Daylight,16.27,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Municipal,2569858.38937804,401228.109569095
112,Bal-580,Bales,790,Park,5801 S UNION AVE,Sun-Sat,Daylight,67.5,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Municipal,2555989.13315991,399249.622302324
113,Lac-213,Lacy,790,Park,2134 N MADISON PL,Sun-Sat,Daylight,13.37,http://www.cityoftulsa.org/government/departments/park-and-recreation/community-and-specialty-centers/lacy-community-center,0,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,Municipal,2564577.52846668,437930.46562618
114,Wil-101,Williams,790,Park,101 W 28TH ST N,Sun-Sat,Daylight,18.36,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Municipal,2559300.77269803,441791.065680556
115,Eas-290,East Park Tract,790,Park,2909 S 132ND E AVE,Sun-Sat,Daylight,14.42,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Municipal,2609901.10005689,415233.842712432
116,Als-980,Alsuma,790,Park,9801 E 51ST ST S,Sun-Sat,Daylight,1,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Municipal,2598418.54141116,403729.587505765
117,Hic-344,Hicks,790,Park,3443 S MINGO RD,Sun-Sat,Daylight,20,http://www.cityoftulsa.org/government/departments/park-and-recreation/community-and-specialty-centers/hicks-community-center,0,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,Yes,Municipal,2598039.91519991,411835.749525033
118,Cha-390,Challenger 7,790,Park,3909 W 41ST ST,Sun-Sat,Daylight,19.58,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Municipal,2548401.76685502,407933.946715139
119,Cra-242,Crawford,790,Park,2425 N HARTFORD AVE,Sun-Sat,Daylight,24.09,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Municipal,2563244.34502741,438892.83082743
120,Hil-121,Hilti,790,Park,12148 E 51ST ST S,Sun-Sat,Daylight,29.3,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Municipal,2605427.68954835,403805.665109515
121,Lum-250,Lumpkin,790,Park,2505 W 66T ST N,Sun-Sat,Daylight,40,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Municipal,2555974.27918699,459300.331022844
122,Mit-594,Mitchell,790,Park,5949 E 36TH PL,Sun-Sat,Daylight,6.49,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Municipal,2585602.88011668,410794.191568784
123,Nor-343,North 56th St Tract,790,Park,3435 E 56TH ST N,Sun-Sat,Daylight,3.03,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Municipal,2577158.74018085,456476.596512847
124,Pen-531,Penney,790,Park,531 S 49TH W AVE,Sun-Sat,Daylight,1.28,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Municipal,2545030.49858116,424030.093164511
125,Spr-222,Springdale,790,Park,2223 E PINE ST,Sun-Sat,Daylight,9.53,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Municipal,2570382.45616126,434847.674465656
126,Ter-287,Terrace,790,Park,2877 S 77TH E AVE,Sun-Sat,Daylight,20,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Municipal,2591855.66370689,416176.977719203
127,Gun-112,Gunboat North,790,Park,1122 S FRANKFORT AVE,Sun-Sat,Daylight,0.25,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Municipal,2564495.95669741,423785.37703649
128,Ada-162,Adams,790,Park,1627 N ATLANTA PL,Sun-Sat,Daylight,0.6,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Municipal,2571824.69778137,435719.128185347
129,Car-280,Carbondale,790,Park,2802 W 48TH ST S,Sun-Sat,Daylight,1.91,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,Municipal,2552270.88846387,403822.245210864
130,Lea-771,Leake,790,Park,7714 E 71ST ST,Sun-Sat,Daylight,23,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Municipal,2592446.52661637,391753.349155135
131,Tul-570,Mohawk Park,790,Park,5701 E 36TH ST N,Sun-Sat,Daylight,3170,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Municipal,2586445.5769221,448392.449295349
132,Fra-181,"Franklin, BC",790,Park,1818 E VIRGIN AVE,Sun-Sat,Daylight,16.44,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Municipal,2568443.2113521,437348.200960658
133,Red-161,Redbud Valley Nature Preserve,790,Park,16150 REDBUD DR,Sun-Sat,Daylight,82,http://www.cityoftulsa.org/government/departments/park-and-recreation/community-and-specialty-centers/oxley-nature-center-and-redbud-valley,0,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Municipal,2618052.71515127,451513.240297846
134,Joh-171,Johnson H.B.,790,Park,1714 S 123RD E AVE,Sat-Sun,Daylight,5,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Municipal,2606235.95892918,421119.127857849
135,Fre-600,Fred Johnson,790,Park,6002 S RIVERSIDE RD,Sun-Sat,Daylight,32.8,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Municipal,2565287.18748043,398321.062807739
137,Joh-743,Johnson Paul,790,Park,7433 S PITTSBURG AVE,Sun-Sat,Daylight,10,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Municipal,2580018.73487095,391046.418564409
138,Gat-265,Gathering Place,790,Park,2650 S John Williams Way E,Sun-Sat,Daylight,1,http://www.gatheringplace.org/,530,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,Yes,Yes,Other,2563744.71927272,415508.262685239
139,Cen-310,Central,790,,3101 W Edison St,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,School,2551086.14632877,429276.474157952
140,Str-113,Street,790,,1135 S Yale Ave,,,,,,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,School,2582082.72106449,423921.429093786
141,Dua-270,Dual Language Academy,790,,2703 N Yorktown Pl,,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,School,2570056.22649876,440805.341766179
142,Mcl-492,Mclain,790,,4929 N Peoria Ave,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,School,2565684.31513106,452345.796457537
143,Tra-274,Traice Academy Middle & High,790,,2740 E 41st St N,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,School,2573209.63349574,447855.701271072
144,Pro-120,Project Accept Traice Elementary,790,,1205 W Newton St,,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,School,2557189.33745241,433184.030319199
145,Mem-750,Memorial,790,,7502 E 57th St,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,School,2590917.39048501,400527.32192868
146,Tul-620,Tulsa Met Jr. High & High,790,,6201 E Virgin St,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,School,2586205.72298908,437957.255270764
147,Eis-311,Eisenhower International,790,,3111 E 56th St,,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,School,2576140.64059304,400712.100102432
148,Gri-321,Grimes,790,,3213 E 56th St,,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,School,2576810.94888168,400641.072931491
149,Zar-361,Zarrow International,790,,3613 S Hudson Ave,,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,School,2584919.94718137,411054.847215451
150,Rob-272,Robertson,790,,2721 W 50th St,,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,School,2552432.47278637,403499.676138163
151,Sal-762,Salk,790,,7625 E 58th St,,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,School,2591529.45126877,400416.0048941
152,Dis-117,Disney ,790,,11702 E 25th St,,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,School,2604972.55922502,417423.697666697
153,Ske-271,Skelly (PreK - 1st),790,,2714 S 90th Ave E,,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,School,2595921.12719668,415250.054540239
154,Ske-294,Skelly (2nd - 6th),790,,2940 S 90th Ave E,,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,School,2595937.85616585,414490.361997947
155,And-192,Anderson,790,,1921 E 29th St N,,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,School,2569212.81775251,441470.54589837
156,Haw-110,Hawthorne,790,,1105 E 33rd St N,,,5.73,,,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,School,2565581.63407002,444272.531764202
157,Way-413,Wayman Tisdale Fine Arts Academy ,790,,4132 W Cameron St,,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,School,2547091.04605126,427254.788158678
158,Mar-541,Mark Twain,790,,541 S 43rd Ave W,,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,School,2547121.90310897,424207.247911908
159,Mac-218,Macarthur,790,,2182 S 73rd Ave E,,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,School,2589794.92881918,418209.996126913
160,Gil-555,Gilcrease,790,,5550 N Martin Luther King Jr Blvd,,,342.41,,,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,School,2559906.90378564,455515.123288162
161,ECD-540,ECDC Bunche,790,,5402 N Martin Luther King Jr Blvd,,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,School,2560092.57516627,454221.902039304
162,Aca-178,Academy Central,790,,1789 W Seminole St,,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,School,2555041.60183647,435823.774875656
163,Bur-192,Burroughs ,790,,1924 N Martin Luther King Jr Blvd,,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,School,2560089.17376231,436737.988106281
164,May-112,Mayo Demonstration,790,,1127 S Columbia Ave,,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,School,2573519.34580283,423880.244382843
