OBJECTID,Facility Identifier,Name of Facility,Subtype Field,Feature Code,Full Address,Operational Days,Operational Hours,Size of Park,Website,Number of Parking Spaces,Restrooms Available,ADA Compliant,Camping Available,Swimming Available,Hiking Available,Fishing Available,Picnicing Available,Boating Available,Hunting Available,Cycling Available,MTB Available,Playgrounds Available,Golf Available,Skiing Available,Soccer Fields Available,Baseball Fields Available,Basketball Courts Available,Junior Pools,Tennis Court Available,Lighted Tennis Court Available,Water Playground Available,Splash Pad Available,Dog Park Location,Disc Golf Available,Drinking Fountains Available,Basketball Half Court Available,Outdoor Fitness Available,Skatepark Available,Sand Volleyball Court,Recreation Center Available,Labyrinth,Toddler Park,Streams,Owner Type,x,y
17,Wri-437,Wright,790,Park,437 S 137TH E AVE,Sun-Sat,Daylight,4.66,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Municipal,2610768.43510043,427322.029247947
18,Jin-898,Jingle Feldman,790,Park,8989 E INDEPENDENCE ST,Sun-Sat,Daylight,5,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Municipal,2595527.9997021,431661.989810139
19,McC-115,McCullough,790,Park,11534 E 25TH ST,Sun-Sat,Daylight,11.5,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Municipal,2604333.58740585,417476.473971911
20,Moh-570,Mohawk,790,Park,5701 E 36TH ST N,Sun-Sat,Daylight,3170,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Municipal,2590473.21117324,451212.207845449
21,Pla-140,Plaza,790,Park,1404 S 145TH E AVE,Sun-Sat,Daylight,12.62,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Municipal,2613294.68866012,423052.513508782
22,Ree-423,Reed,790,Park,4233 S YUKON AVE,Sun-Sat,Daylight,29.2,http://www.cityoftulsa.org/government/departments/park-and-recreation/community-and-specialty-centers/reed-community-center,0,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,No,Municipal,2554594.85609283,407103.526788056
23,Stu-140,Stuart,790,Park,1400 N GILCREASE MUSEUM RD,Sun-Sat,Daylight,100.78,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Municipal,2550353.24425127,435542.746484302
24,Wes-262,West Highlands,790,Park,2626 W 61ST ST S,Sun-Sat,Daylight,29.95,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,Municipal,2552953.25586554,397266.288834617
25,Haw-955,Hawthorne,790,Park,955 E 33RD ST N,Sun-Sat,Daylight,5.73,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Municipal,2564716.29254283,443889.631857432
26,Oxl-670,Oxley Nature Center,790,Park,6700 E MOHAWK BLVD,Sun-Sat,Daylight,745,http://www.cityoftulsa.org/government/departments/park-and-recreation/community-and-specialty-centers/oxley-nature-center-and-redbud-valley,0,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Municipal,2586700.89055189,452095.219940968
27,Ben-163,Benedict,790,Park,1630 E 12TH ST,Sun-Sat,Daylight,3.8,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Municipal,2568624.11117074,422988.654138468
28,Hig-490,Highland,790,Park,4909 E 36TH ST S,Sun-Sat,Daylight,3.5,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Municipal,2582481.90292689,411357.98227191
29,Lov-916,Loving,790,Park,9162 E LATIMER ST,Sun-Sat,Daylight,10,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Municipal,2596319.61475272,432677.267471179
30,Min-401,Mini Park II,790,Park,401 W 7TH ST,Sun-Sat,Daylight,0.68,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Municipal,2561112.30450803,424098.942272224
31,Pra-162,Pratt,790,Park,1621 S FLORENCE AVE,Sun-Sat,Daylight,1.12,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Municipal,2575337.99579085,420616.404535867
32,Seq-354,Sequoyah,790,Park,3540 E NEWTON ST,Sun-Sat,Daylight,10.16,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Municipal,2577482.57114408,433565.523978785
33,Tur-350,Turner,790,Park,3503 E 5TH PL,Sun-Sat,Daylight,8.69,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Municipal,2577223.72692752,426412.168042742
34,Whe-220,Wheeling,790,Park,2209 N WHEELING AVE,Sun-Sat,Daylight,2.11,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Municipal,2568949.09370647,437812.230954513
35,Zin-321,Zink,790,Park,3216 S TRENTON AVE,Sun-Sat,Daylight,14.9,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Yes,Municipal,2568049.51504304,413098.036616594
36,Gil-140,Gilcrease Museum,790,Park,1400 N GILCREASE MUSEUM RD,Sun-Sat,Daylight,342.41,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Municipal,2552536.6486771,433423.285910241
37,Ber-500,Berry,790,Park,5002 N WHEELING AVE,Sun-Sat,Daylight,13.73,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Municipal,2568674.30505002,452786.301646076
38,Bra-503,Braden,790,Park,5036 E 7TH ST,Sun-Sat,Daylight,9.44,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Municipal,2582884.43452012,425214.319798678
39,Cat-22,Cathedral Square,790,Park,22 W 10TH ST,Sun-Sat,Daylight,0.34,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Municipal,2562436.78143585,423387.60880316
40,Cou-451,Cousins,790,Park,4514 E 121ST ST,Sun-Sat,Daylight,42.76,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Municipal,2583127.48398481,366317.984179512
41,Cre-850,Crescent,790,Park,8501 S 71ST E AVE,Sun-Sat,Daylight,12.86,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Municipal,2590187.05483939,385685.962995969
42,How-251,Howard,790,Park,2510 S SOUTHWEST BLVD,Sun-Sat,Daylight,7.15,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Municipal,2556961.63121491,415958.226926386
43,Pag-666,Page Belcher Golf Course,790,Park,6666 S UNION AVE,Sun-Sat,Daylight,316.02,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Municipal,2555193.37851783,394323.87756066
44,Riv-474,River Skate Park,790,Park,474 W 23RD ST,Sun-Sat,Daylight,2,http://www.cityoftulsa.org/government/departments/park-and-recreation/sports/skate-parks,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Municipal,2560807.20915366,416972.282066911
45,Sha-367,Shannon I,790,Park,3670 S 106TH E AVE,Sun-Sat,Daylight,1.53,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Municipal,2600963.76146835,410479.94966118
