name,type,lat,lng,tags
Benedict,park,36.14474755501243,-95.96729303353139,Full Address: 1630 E 12TH ST; Operational Hours: Daylight; Size of Park: 3.8; Website: http://www.cityoftulsa.org/government/departments/park-and-recreation; Playgrounds Available: No; Water Playground Available: No
Highland,park,36.11199859534429,-95.92121207508191,Full Address: 4909 E 36TH ST S; Operational Hours: Daylight; Size of Park: 3.5; Website: http://www.cityoftulsa.org/government/departments/park-and-recreation; Playgrounds Available: Yes; Water Playground Available: No
Loving,park,36.16972670172032,-95.87279443567347,Full Address: 9162 E LATIMER ST; Operational Hours: Daylight; Size of Park: 10.0; Website: http://www.cityoftulsa.org/government/departments/park-and-recreation; Playgrounds Available: Yes; Water Playground Available: No
Mini Park II,park,36.148226224543855,-95.99265166570832,Full Address: 401 W 7TH ST; Operational Hours: Daylight; Size of Park: 0.68; Website: http://www.cityoftulsa.org/government/departments/park-and-recreation; Playgrounds Available: No; Water Playground Available: No
Pratt,park,36.13784404550593,-95.94472887878541,Full Address: 1621 S FLORENCE AVE; Operational Hours: Daylight; Size of Park: 1.12; Website: http://www.cityoftulsa.org/government/departments/park-and-recreation; Playgrounds Available: No; Water Playground Available: No
Sequoyah,park,36.17328290397637,-95.93653568875408,Full Address: 3540 E NEWTON ST; Operational Hours: Daylight; Size of Park: 10.16; Website: http://www.cityoftulsa.org/government/departments/park-and-recreation; Playgrounds Available: Yes; Water Playground Available: No
Turner,park,36.153651880407686,-95.93792722167518,Full Address: 3503 E 5TH PL; Operational Hours: Daylight; Size of Park: 8.69; Website: http://www.cityoftulsa.org/government/departments/park-and-recreation; Playgrounds Available: Yes; Water Playground Available: No
Wheeling,park,36.18544088881741,-95.96514039113681,Full Address: 2209 N WHEELING AVE; Operational Hours: Daylight; Size of Park: 2.11; Website: http://www.cityoftulsa.org/government/departments/park-and-recreation; Playgrounds Available: Yes; Water Playground Available: No
Zink,park,36.117616448703004,-95.96993910758485,Full Address: 3216 S TRENTON AVE; Operational Hours: Daylight; Size of Park: 14.9; Website: http://www.cityoftulsa.org/government/departments/park-and-recreation; Playgrounds Available: Yes; Water Playground Available: No
Gilcrease Museum,park,36.17431878784367,-96.02104819003203,Full Address: 1400 N GILCREASE MUSEUM RD; Operational Hours: Daylight; Size of Park: 342.41; Website: http://www.cityoftulsa.org/government/departments/park-and-recreation; Playgrounds Available: No; Water Playground Available: No
Berry,park,36.2265817636655,-95.96500785372382,Full Address: 5002 N WHEELING AVE; Operational Hours: Daylight; Size of Park: 13.73; Website: http://www.cityoftulsa.org/government/departments/park-and-recreation; Playgrounds Available: Yes; Water Playground Available: No
Braden,park,36.150030304072736,-95.91884411948749,Full Address: 5036 E 7TH ST; Operational Hours: Daylight; Size of Park: 9.44; Website: http://www.cityoftulsa.org/government/departments/park-and-recreation; Playgrounds Available: Yes; Water Playground Available: No
Cathedral Square,park,36.14619727107936,-95.98821646738433,Full Address: 22 W 10TH ST; Operational Hours: Daylight; Size of Park: 0.34; Website: http://www.cityoftulsa.org/government/departments/park-and-recreation; Playgrounds Available: No; Water Playground Available: No
Cousins,park,35.98826017696071,-95.92228991523878,Full Address: 4514 E 121ST ST; Operational Hours: Daylight; Size of Park: 42.76; Website: http://www.cityoftulsa.org/government/departments/park-and-recreation; Playgrounds Available: No; Water Playground Available: No
Crescent,park,36.04103610166801,-95.89701483507407,Full Address: 8501 S 71ST E AVE; Operational Hours: Daylight; Size of Park: 12.86; Website: http://www.cityoftulsa.org/government/departments/park-and-recreation; Playgrounds Available: No; Water Playground Available: No
Howard,park,36.12610286376238,-96.00727318428049,Full Address: 2510 S SOUTHWEST BLVD; Operational Hours: Daylight; Size of Park: 7.15; Website: http://www.cityoftulsa.org/government/departments/park-and-recreation; Playgrounds Available: Yes; Water Playground Available: No
Page Belcher Golf Course,park,36.06678376918159,-96.01475726983209,Full Address: 6666 S UNION AVE; Operational Hours: Daylight; Size of Park: 316.02; Website: http://www.cityoftulsa.org/government/departments/park-and-recreation; Playgrounds Available: No; Water Playground Available: No
River Skate Park,park,36.12867041617687,-95.9941834843854,Full Address: 474 W 23RD ST; Operational Hours: Daylight; Size of Park: 2.0; Website: http://www.cityoftulsa.org/government/departments/park-and-recreation/sports/skate-parks; Playgrounds Available: No; Water Playground Available: No
Shannon I,park,36.10848381745414,-95.85872247177387,Full Address: 3670 S 106TH E AVE; Operational Hours: Daylight; Size of Park: 1.53; Website: http://www.cityoftulsa.org/government/departments/park-and-recreation; Playgrounds Available: No; Water Playground Available: No
Dream Keepers,park,36.13529648464177,-95.98744301144075,Full Address: 1875 S BOULDER PARK DR; Operational Hours: Daylight; Size of Park: 15.0; Website: http://www.cityoftulsa.org/government/departments/park-and-recreation; Playgrounds Available: Yes; Water Playground Available: No
Woodland View II,park,36.07955101014417,-95.88198731677416,Full Address: 7802 E 57TH ST S; Operational Hours: Daylight; Size of Park: 4.99; Website: http://www.cityoftulsa.org/government/departments/park-and-recreation; Playgrounds Available: No; Water Playground Available: No
